task									done

working buttonGroups							[x]
adding node changes back to clickdrag mode              		[x]
scene node is copy of (not same instance) template node 		[x]
checking template button, changing tab should uncheck pressed button	[]
designProject contains parcelable child nodes           		[]
unchecking a button puts us back into ClickDrag mode			[x]
changing project tabs also changes the corresponding current view	[x]
draw arrows between nodes. ctrl-click node OR toolbar button (both)	[]
drawing arrows from/to nodes visually highlights node(s)		[]
unable to add class diagram nodes to use cases, vica versa		[]
right-click added node->edit members (might scratch this)		[]
connect design=implementation gui with code generator			[]

alpha 1									[]

release 1								[]
